ID,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Skill_Standard,Grade_Level
567,Find the range of y = x^2 + 4.,[4 infinity),(-infinity infinity),[0 infinity),(-infinity 4],A,College Alg (Range),13+
568,"Using Cramer's Rule,  the denominator is the determinant of the:",Coefficient Matrix,Answer Column,Inverse Matrix,Identity Matrix,A,College Alg (Cramer's Rule),13+
569,Factor x^4 - 16 completely.,(x-2)(x+2)(x^2+4),(x^2-4)(x^2+4),(x-2)^2(x+2)^2,(x-2)(x+2)(x-2)(x+2),A,College Alg (Factoring),13+
570,The Binomial Theorem expands (x + y)^n using coefficients from:,Pascal's Triangle,The Unit Circle,Fibonacci Sequence,Pythagorean Triples,A,College Alg (Binomial Thm),13+
571,How many fingers are on one hand?,4,10,5,1,C,K.CC.B.5 (Counting),K
572,Which number comes after 3?,2,4,5,1,B,K.CC.A.2 (Counting Forward),K
573,What is 1 + 1?,1,3,11,2,D,K.OA.A.5 (Addition),K
574,Which shape has 3 sides?,Square,Circle,Triangle,Rectangle,C,K.G.A.2 (Shapes),K
575,Which number is the biggest?,2,5,9,1,C,K.CC.C.7 (Comparing Numbers),K
576,Count the dots: * * *,2,3,4,5,B,K.CC.B.4 (Counting Objects),K
577,What is 5 minus 0?,0,5,50,1,B,K.OA.A.5 (Subtraction),K
578,Which object is round?,Book,Ball,Table,Door,B,K.G.A.1 (Shape Identification),K
579,Which number is ten?,1,10,100,1,B,K.CC.A.3 (Number Writing),K
580,If you have 2 apples and eat 1 how many are left?,1,2,3,0,A,K.OA.A.2 (Word Problems),K
581,What comes next? 1 2 3 __,5,6,4,0,C,K.CC.A.2 (Sequencing),K
582,Which animal has 4 legs?,Bird,Snake,Dog,Fish,C,K.MD.A.2 (Attributes),K
583,"Which shows ""none""?",0,1,10,100,A,K.CC.A.3 (Zero Concept),K
584,Is a giraffe tall or short?,Tall,Short,Small,Tiny,A,K.MD.A.1 (Measurement),K
585,How many corners does a circle have?,4,3,1,0,D,K.G.A.2 (Geometry),K
586,What is 2 + 2?,3,5,4,22,C,K.OA.A.5 (Addition),K
587,Which is a penny?,Silver coin,Copper/Brown coin,Paper money,Gold bar,B,1.MD.B.3 (Money),1
588,Which group has more?,5 stars,2 stars,1 star,0 stars,A,K.CC.C.6 (Comparing),K
589,"What number is this: ""Eight""",8,18,80,0,A,K.CC.A.3 (Number Names),K
590,Subtract: 3 - 2,1,2,3,5,A,K.OA.A.5 (Subtraction),K
591,Which shape looks like a box?,Circle,Triangle,Square,Star,C,K.G.A.1 (Shapes),K
592,"Fill in the blank: A, B, C, __.",E,F,D,G,C,K.ELA (Patterns/Sequence),K
593,How many wheels on a bicycle?,1,2,3,4,B,K.CC.B.5 (Counting),K
594,What is 10 + 0?,100,0,1,10,D,1.OA.C.6 (Identity Prop),1
595,Which represents the number 5?,||,|||||,|||,|,B,K.CC.B.4 (Tally Marks),K
596,Is ice hot or cold?,Hot,Cold,Warm,Dry,B,K.MD.A.2 (Attributes),K
597,Solve: 4 + 1,4,1,5,6,C,K.OA.A.5 (Addition),K
598,Which number is smaller than 4?,5,6,3,10,C,K.CC.C.7 (Comparing),K
599,How many toes do you (usually) have on one foot?,10,1,5,2,C,K.CC.B.5 (Counting),K
600,What is 0 + 0?,0,1,10,100,A,K.OA.A.5 (Addition),K
601,Which is a number?,A,$,7,?,C,K.CC.A.3 (Number Recog),K
602,Identify the rectangle.,Ball,Door,Pizza Slice,Ice Cream Cone,B,K.G.A.1 (Real World Shapes),K
603,How many suns are in the sky?,1,2,3,100,A,K.CC.B.5 (Counting),K
604,Which is heavy?,Feather,Elephant,Pencil,Leaf,B,K.MD.A.1 (Weight),K
605,What is 1 take away 1?,1,11,2,0,D,K.OA.A.2 (Subtraction),K
606,Which number looks like a snowman?,1,8,4,7,B,K.CC.A.3 (Number Shapes),K
607,"Count backwards: 3, 2, __",4,5,1,0,C,K.CC.A.2 (Counting Back),K
608,Are these equal? 2 and 2.,Yes,No,Maybe,Sometimes,A,K.CC.C.6 (Equality),K
609,Which is the color of grass?,Red,Blue,Green,Purple,C,Pre-K (Colors),PK
610,How many eyes does a face have?,1,2,3,4,B,K.CC.B.5 (Counting),K
611,"Which is the number ""one""?",1,2,3,4,A,K.CC.A.3 (Number Recog),K
612,Solve: 2 + 3,4,5,6,1,B,K.OA.A.5 (Addition),K
613,Which line is straight?,~~~~,----,^^^^,OOOO,B,K.G.A.1 (Lines),K
614,Find the pair.,Shoe and Sock,Shoe and Apple,Sock and Car,Hat and Fish,A,K.MD.B.3 (Matching),K
615,Is a mouse big or small?,Big,Small,Huge,Tall,B,K.MD.A.1 (Size),K
616,Which number is first?,1,2,3,10,A,K.CC.A.2 (Ordinal Numbers),K
617,What comes after Monday?,Sunday,Wednesday,Tuesday,Friday,C,K.MD (Time),K
618,Solve: 6 - 1,5,6,7,4,A,1.OA.D.8 (Subtraction),1
619,How many sides on a square?,2,3,4,5,C,1.G.A.1 (Geometry),1
620,What is 5 + 5?,55,10,9,11,B,1.OA.C.6 (Doubles),1
621,Which month comes after March?,May,February,April,June,C,1.MD.B.3 (Time/Calendar),2
622,How many cents are in a dime?,5,10,25,1,B,2.MD.C.8 (Money),2
623,Solve: 15 - 7,8,7,9,6,A,2.OA.B.2 (Subtraction Facts),2
624,What shape has 6 sides?,Pentagon,Octagon,Hexagon,Triangle,C,3.G.A.1 (Geometry),3
625,"Write the number for ""forty-two"".",402,42,24,420,B,1.NBT.A.1 (Number Names),1
626,If you have 50 cents and spend 10 cents how much is left?,30 cents,60 cents,40 cents,50 cents,C,2.MD.C.8 (Money Math),2
627,Which is the largest number?,109,190,901,910,D,2.NBT.A.4 (Comparing Numbers),2
628,What time is shown if the little hand is on 6 and big hand on 12?,0.25,0.5,0.258333333,0.504166667,A,1.MD.B.3 (Telling Time),1
629,Double 6 is:,10,12,14,18,B,2.OA.C.3 (Doubles),2
630,Which is a liquid?,Rock,Milk,Pencil,Apple,B,2.MD (States of Matter/Measurement),2
631,How many days are in a week?,5,7,12,30,B,1.MD.B.3 (Time),1
632,Solve: 20 + 20,30,50,40,100,C,2.NBT.B.5 (Addition),2
633,What is the place value of the 5 in 53?,Ones,Tens,Hundreds,Thousands,B,2.NBT.A.1 (Place Value),2
634,Which coin is brown/copper?,Nickel,Dime,Quarter,Penny,D,1.MD.B.3 (Money Identification),1
635,"Count by 10s: 10, 20, 30,  __",35,40,50,25,B,1.NBT.A.1 (Skip Counting),1
636,Solve: 9 + 6,14,15,16,13,B,2.OA.B.2 (Addition Facts),2
637,Is a basketball a sphere or a circle?,Circle,Sphere,Cube,Square,B,2.G.A.1 (3D Shapes),2
638,"Identify the pattern: Red, Blue, Red, Blue, __",Green,Red,Yellow,Orange,B,1.MD (Patterns),1
639,Which holds more water?,Teaspoon,Cup,Bucket,Bathtub,D,2.MD.A.1 (Capacity),2
640,What is 100 + 50?,105,150,500,10050,B,2.NBT.B.7 (Addition),2
641,Find the difference: 12 - 5,6,8,7,5,C,2.OA.B.2 (Subtraction),2
642,How many hours are in 1 day?,12,24,48,7,B,2.MD.C.7 (Time),2
643,If today is Friday what was yesterday?,Saturday,Sunday,Thursday,Wednesday,C,1.MD.B.3 (Calendar),1
644,What does a ruler measure?,Weight,Time,Length,Temperature,C,2.MD.A.1 (Tools),2
645,Solve: 3 x 2,5,6,1,32,B,3.OA.A.1 (Intro Multiplication),3
646,Which number is even?,7,9,11,12,D,2.OA.C.3 (Odd/Even),2
647,How many sides does a rectangle have?,3,4,5,6,B,1.G.A.1 (Geometry),1
648,Split 10 into 2 equal groups. How many in each?,2,5,10,4,B,3.OA.A.2 (Division Concept),3
649,Which represents 3 tens and 4 ones?,34,43,304,7,A,2.NBT.A.1 (Place Value),2
650,Add: 8 + 2 + 5,10,13,15,14,C,2.OA.B.2 (Adding 3 Numbers),2
651,Identify the cone.,Ice Cream Cone,Ball,Box,Can,A,2.G.A.1 (3D Shapes),2
652,Which is colder?,30 degrees,80 degrees,100 degrees,50 degrees,A,2.MD (Temperature),2
653,"Fill in the blank: 15, 16, __, 18",17,19,14,20,A,1.NBT.A.1 (Counting),1
654,A car has 4 wheels. How many wheels do 2 cars have?,4,6,8,10,C,2.OA.A.1 (Word Problems),2
655,What fraction is shaded if 2 out of 4 parts are red?,45661,45720,45692,45749,C,3.NF.A.1 (Fractions),3
656,Subtract: 100 - 1,90,99,101,98,B,2.NBT.B.5 (Subtraction),2
657,Which is a cylinder?,Ball,Soda Can,Box,Pyramid,B,2.G.A.1 (3D Shapes),2
658,10 pennies equal:,1 Nickel,1 Dime,1 Quarter,1 Dollar,B,2.MD.C.8 (Money Equivalence),2
659,Solve: 7 + 7,14,12,16,15,A,2.OA.C.3 (Doubles),2
660,Which is heavier?,Car,Bike,Skateboard,Human,A,2.MD.A.1 (Weight),2
661,What is half of 10?,2,4,5,10,C,3.OA.A.2 (Division/Halving),3
662,Find the sum of 10 and 9.,19,90,91,109,A,1.NBT.B.2 (Addition),1
663,Which season is usually hot?,Winter,Spring,Summer,Fall,C,1.MD (Seasons),1
664,Count the legs on a spider.,4,6,8,10,C,2.OA (Counting),2
665,Write 500 + 60 + 9 as a standard number.,569,500609,596,659,A,2.NBT.A.3 (Expanded Form),2
666,Is 55 closer to 50 or 60?,50,60,Neither,Both,B,3.NBT.A.1 (Rounding),3
667,How many sides does a pentagon have?,4,5,6,8,B,3.G.A.1 (Geometry),3
668,Solve: 11 - 9,2,3,1,4,A,2.OA.B.2 (Subtraction),2
669,Which is longer? 1 meter or 1 centimeter?,1 meter,1 centimeter,Same,Unknown,A,2.MD.A.4 (Comparing Length),2
670,Start at 5 count up 3. Where are you?,7,8,9,6,B,1.OA.C.5 (Counting On),1
671,Solve for x: 3(x - 2) = 15,9,7,5,3,B,HSA.REI.B.3 (Linear Eq),HS-Alg1
672,Find the slope of the line y = -4x + 7.,7,-4,4,-7,B,HSF.LE.A.2 (Slope),HS-Alg1
673,Simplify: x^5 * x^3,x^8,x^15,2x^8,x^2,A,HSN.RN.A.1 (Exponent Rules),HS-Alg1
674,Solve the system: y = 2x and x + y = 12.,(4 8),(3 6),(2 4),(6 12),A,HSA.REI.C.6 (Systems),HS-Alg1
675,Factor: x^2 - 9,(x-3)(x-3),(x+3)(x+3),(x-3)(x+3),(x-9)(x+1),C,HSA.SSE.B.3 (Diff of Squares),HS-Alg1
676,What is the y-intercept of 3x + 4y = 12?,3,4,12,3,A,HSF.IF.C.7 (Intercepts),HS-Alg1
677,Multiply: (x + 3)(x - 4),x^2 - x - 12,x^2 + x - 12,x^2 - 7x - 12,x^2 - 12,A,HSA.APR.A.1 (Polynomials),HS-Alg1
678,Solve for y: 2y + 6 = 4y - 10,8,4,16,2,A,HSA.REI.B.3 (Variables on Both Sides),HS-Alg1
679,Which inequality flips the sign when solving?,Dividing by a positive,Subtracting a negative,Multiplying by a negative,Adding a positive,C,HSA.REI.B.3 (Inequality Rules),HS-Alg1
680,Simplify: sqrt(72),6sqrt(2),36sqrt(2),2sqrt(6),8,A,HSN.RN.A.2 (Radicals),HS-Alg1
681,Evaluate f(x) = -x^2 + 1 when x = 3.,-8,10,7,-5,A,HSF.IF.A.2 (Function Notation),HS-Alg1
682,What is the slope of a horizontal line?,0,1,Undefined,x,A,HSF.LE.A.2 (Slopes),HS-Alg1
683,Solve: |x| = 7,7,-7,"7, -7",0,C,HSA.REI.B.3 (Abs Value),HS-Alg1
684,Factor out the GCF: 4x^2 + 8x,4x(x+2),2x(2x+4),x(4x+8),4(x^2+2),A,HSA.SSE.B.3 (Factoring),HS-Alg1
685,Identify the vertex of y = (x + 1)^2 - 5.,(1 -5),(-1 -5),(-1 5),(1 5),B,HSF.IF.C.7 (Vertex Form),HS-Alg1
686,Solve for x: 1/2 x - 4 = 6,20,5,10,12,A,HSA.REI.B.3 (Linear Eq),HS-Alg1
687,Find the discriminant of x^2 + 6x + 9.,0,36,-36,1,A,HSA.REI.B.4 (Discriminant),HS-Alg2
688,Simplify: (2x^3)^3,8x^9,6x^9,8x^6,2x^9,A,HSN.RN.A.1 (Power Rule),HS-Alg1
689,Which point satisfies y > x + 1?,(0 0),(2 1),(1 5),(3 2),C,HSA.REI.D.12 (Inequalities),HS-Alg1
690,Find the x-intercept of 2x - 5y = 10.,2,-2,5,-5,C,HSF.IF.C.7 (Intercepts),HS-Alg1
691,Parallel lines have slopes that are:,Opposite,Reciprocal,Equal,Undefined,C,HSG.GPE.B.5 (Parallel Lines),HS-Alg1
692,Solve: x^2 = 49,7,-7,"7, -7",49,C,HSA.REI.B.4 (Quadratics),HS-Alg1
693,"Domain of relation {(1,2), (3,4), (5,6)}:",{1 3 5},{2 4 6},{1 2 3 4 5 6},All real numbers,A,HSF.IF.A.1 (Domain),HS-Alg1
694,Add: (3x^2 + 2) + (x^2 - 5),4x^2 - 3,4x^2 + 3,2x^2 - 3,3x^4 - 3,A,HSA.APR.A.1 (Polynomials),HS-Alg1
695,Solve using Quadratic Formula: x^2 - 5x + 6 = 0,2 and 3,-2 and -3,1 and 6,-1 and -6,A,HSA.REI.B.4 (Quad Formula),HS-Alg1
696,Simplify: x^-3,x^3,-3x,1/x^3,#NAME?,C,HSN.RN.A.1 (Negative Exponents),HS-Alg1
697,What is the degree of 5x^4 - 2x + 1?,5,4,1,3,B,HSA.APR.A.1 (Polynomial Degree),HS-Alg2
698,Solve: 4^x = 64,3,4,2,16,A,HSF.LE.A.4 (Exponentials),HS-Alg2
699,Which is a function?,Vertical line,Circle,Parabola opening up,Parabola opening left,C,HSF.IF.A.1 (Functions),HS-Alg1
700,Evaluate log_2(16),8,4,2,16,B,HSF.LE.A.4 (Logarithms),HS-Alg2
701,Multiply: (x + 5)^2,x^2 + 25,x^2 + 10x + 25,x^2 + 5x + 25,2x + 10,B,HSA.APR.A.1 (Polynomials),HS-Alg1
702,Solve: sqrt(x - 1) = 4,17,15,5,3,A,HSA.REI.A.2 (Radical Eq),HS-Alg2
703,Find the inverse of y = 3x,y = x/3,y = -3x,y = 3/x,y = x + 3,A,HSF.BF.B.4 (Inverses),HS-Alg2
704,Write in scientific notation: 5200,5.2 x 10^2,5.2 x 10^3,52 x 10^2,0.52 x 10^4,B,8.EE.A.3 (Sci Notation),HS-Alg1
705,Simplify: i^2,-1,1,i,#NAME?,A,HSN.CN.A.1 (Imaginary Numbers),HS-Alg2
706,"What is the midpoint of (2,4) and (6,8)?",(4 6),(8 12),(2 2),(3 5),A,HSG.GPE.B.6 (Midpoint),HS-Alg1
707,"What is the distance between (0,0) and (3,4)?",5,7,25,1,A,HSG.GPE.B.7 (Distance),HS-Alg1
708,Factor: x^2 + 7x + 12,(x+3)(x+4),(x+2)(x+6),(x+1)(x+12),(x-3)(x-4),A,HSA.SSE.B.3 (Factoring),HS-Alg1
709,Solve: 2x < 10,x < 5,x > 5,x < 20,x = 5,A,HSA.REI.B.3 (Inequalities),HS-Alg1
710,Identify the coefficient of -7x^2,-7,2,x,7,A,HSA.APR.A.1 (Vocab),HS-Alg1
711,"Slope of line through (1,1) and (2, 3)?",2,1,0.5,-2,A,HSF.LE.A.2 (Slope Formula),HS-Alg1
712,Equation of line with m=2 and b=3?,y = 2x + 3,y = 3x + 2,y = 2x - 3,y = x + 5,A,HSF.LE.A.2 (Slope-Intercept),HS-Alg1
713,Subtract: (5x - 2) - (2x + 1),3x - 3,3x - 1,7x - 3,3x + 3,A,HSA.APR.A.1 (Polynomials),HS-Alg1
714,Find f(2) if f(x) = 3^x,9,6,5,8,A,HSF.LE.A.2 (Exponentials),HS-Alg1
715,The graph of x = 4 is:,Vertical line,Horizontal line,Point,Parabola,A,HSF.LE.A.2 (Graphing),HS-Alg1
716,Perpendicular slope to m = 2?,45659,-2,-0.5,2,C,HSG.GPE.B.5 (Perpendicular),HS-Alg1
717,Solve system: x = 3 and y = x + 2,(3 5),(3 2),(5 3),(0 2),A,HSA.REI.C.6 (Substitution),HS-Alg1
718,Zero Product Property: If ab = 0 then?,a=0 or b=0,a=0 and b=0,a=1,b=1,A,HSA.REI.B.4 (Properties),HS-Alg1
719,Simplify: (x^2y)(xy^2),x^3y^3,x^2y^2,x^3y^2,xy,A,HSN.RN.A.1 (Exponents),HS-Alg1
720,"What represents ""twice a number plus four""?",2x + 4,2(x + 4),4x + 2,x^2 + 4,A,HSA.CED.A.1 (Expressions),HS-Alg1
721,What is the difference between Gross and Net Income?,Gross is after taxes,Gross is before taxes,They are the same,Net includes bonuses only,B,FinLit (Income),HS
722,What is a Fixed Expense?,Costs that change monthly,Costs that stay the same,One-time purchases,Emergency costs,B,FinLit (Budgeting),HS
723,Which rule suggests saving 20% of your income?,The 50/30/20 Rule,The Rule of 72,The 80/20 Rule,The Gold Standard,A,FinLit (Budgeting),HS
724,What does APR stand for?,Annual Percentage Rate,Actual Payment Return,Annual Pay Raise,Automated Payment Record,A,FinLit (Credit),HS
725,Which factor impacts your Credit Score the most?,Total debt,Payment history,Number of cards,Age,B,FinLit (Credit Scores),HS
726,Compound Interest is best described as:,Interest on principal only,Interest on principal plus interest,A fee for banking,A type of tax,B,FinLit (Interest),HS
727,What is an insurance deductible?,The monthly payment,Amount you pay before insurance covers,The maximum payout,The policy expiry date,B,FinLit (Insurance),HS
728,Which asset is the most liquid?,Real Estate,Cash in Savings,Stocks,A car,B,FinLit (Assets),HS
729,What form reports your wages for taxes?,W-4,W-2,1040,I-9,B,FinLit (Taxes),HS
730,What is an Overdraft Fee?,Fee for using an ATM,Fee for spending more than you have,Monthly maintenance fee,Fee for opening account,B,FinLit (Banking),HS
731,Stocks offer higher returns than bonds but come with:,Lower risk,Higher risk,Guaranteed income,Tax immunity,B,FinLit (Investing),HS
732,The Rule of 72 estimates:,How long to double money,Retirement age,Tax rate,Credit score,A,FinLit (Math),HS
733,What is the purpose of an Emergency Fund?,To buy a new car,To cover unexpected expenses,To invest in stocks,To pay for a vacation,B,FinLit (Savings),HS
734,Which debt usually has the highest interest rate?,Mortgage,Student Loan,Credit Card,Auto Loan,C,FinLit (Debt),HS
735,A Bear Market means stock prices are:,Rising,Falling,Stable,Frozen,B,FinLit (Investing Vocab),HS
736,What does FDIC insurance protect?,Stock market losses,Bank deposits up to a limit,Car accidents,Identity theft,B,FinLit (Banking),HS
737,Difference between Debit and Credit?,Debit uses your money,Credit uses your money,No difference,Debit builds credit score,A,FinLit (Banking),HS
738,Depreciation refers to:,Assets increasing in value,Assets losing value over time,Stock market gains,Inflation,B,FinLit (Assets),HS
739,Which of these is a Want rather than a Need?,Rent,Groceries,Designer Shoes,Electricity,C,FinLit (Budgeting),HS
740,A 401(k) is primarily for:,Education savings,Retirement savings,Buying a house,Medical bills,B,FinLit (Retirement),HS
741,Inflation causes purchasing power to:,Increase,Decrease,Stay the same,Double,B,FinLit (Economics),HS
742,What is a co-signer?,Someone who witnesses a signature,Person responsible if you do not pay,A bank manager,A loan officer,B,FinLit (Loans),HS
743,Diversification in investing means:,Putting all money in one stock,Spreading money across investments,Keeping cash only,Buying only bonds,B,FinLit (Investing),HS
744,Which tax form determines paycheck withholding?,W-2,W-4,1099,1040,B,FinLit (Taxes),HS
745,Using a high percentage of your credit limit can:,Raise your score,Lower your score,Have no effect,Cancel your card,B,FinLit (Credit Scores),HS
746,A Ponzi scheme is a type of:,Investment strategy,Investment fraud,Retirement plan,Insurance policy,B,FinLit (Scams),HS
747,Net Worth is calculated as:,Income minus Expenses,Assets minus Liabilities,Savings plus Checking,Total Debt,B,FinLit (Net Worth),HS
748,Payday loans are known for:,Low interest rates,High interest rates and fees,Long repayment terms,Government backing,B,FinLit (Predatory Lending),HS
749,The Principal of a loan is:,The interest paid,The original amount borrowed,The monthly payment,The lender,B,FinLit (Loans),HS
750,Ideally housing costs should not exceed what % of income?,10 percent,30 percent,50 percent,75 percent,B,FinLit (Budgeting),HS